,comb,obj,GAPD,PGK,PGM,ENO,TPI,ACONTb,ACONTa,CS,FUM,MDH
0,"('GAPD',)",14.151612903225798,1,0,0,0,0,0,0,0,0,0
1,"('PGK',)",14.151612903225798,0,1,0,0,0,0,0,0,0,0
2,"('PGM',)",14.796774193548359,0,0,1,0,0,0,0,0,0,0
3,"('ENO',)",14.796774193548359,0,0,0,1,0,0,0,0,0,0
4,"('TPI',)",16.08709677419352,0,0,0,0,1,0,0,0,0,0
5,"('ACONTb',)",16.681632653061236,0,0,0,0,0,1,0,0,0,0
6,"('ACONTa',)",16.681632653061236,0,0,0,0,0,0,1,0,0,0
7,"('CS',)",16.681632653061236,0,0,0,0,0,0,0,1,0,0
8,"('FUM',)",16.763025210084017,0,0,0,0,0,0,0,0,1,0
9,"('MDH',)",16.77387755102039,0,0,0,0,0,0,0,0,0,1
10,"('GAPD', 'PGK')",14.151612903225796,1,1,0,0,0,0,0,0,0,0
11,"('GAPD', 'PGM')",14.151612903225796,1,0,1,0,0,0,0,0,0,0
12,"('GAPD', 'ENO')",14.151612903225796,1,0,0,1,0,0,0,0,0,0
13,"('GAPD', 'TPI')",1.2649350649350728,1,0,0,0,1,0,0,0,0,0
14,"('GAPD', 'ACONTb')",13.63859649122807,1,0,0,0,0,1,0,0,0,0
15,"('GAPD', 'ACONTa')",13.63859649122807,1,0,0,0,0,0,1,0,0,0
16,"('GAPD', 'CS')",13.63859649122807,1,0,0,0,0,0,0,1,0,0
17,"('GAPD', 'FUM')",14.15161290322578,1,0,0,0,0,0,0,0,1,0
18,"('GAPD', 'MDH')",14.151612903225802,1,0,0,0,0,0,0,0,0,1
19,"('PGK', 'PGM')",14.151612903225807,0,1,1,0,0,0,0,0,0,0
20,"('PGK', 'ENO')",14.151612903225802,0,1,0,1,0,0,0,0,0,0
21,"('PGK', 'TPI')",1.264935064935065,0,1,0,0,1,0,0,0,0,0
22,"('PGK', 'ACONTb')",13.63859649122809,0,1,0,0,0,1,0,0,0,0
23,"('PGK', 'ACONTa')",13.63859649122809,0,1,0,0,0,0,1,0,0,0
24,"('PGK', 'CS')",13.63859649122809,0,1,0,0,0,0,0,1,0,0
25,"('PGK', 'FUM')",14.151612903225804,0,1,0,0,0,0,0,0,1,0
26,"('PGK', 'MDH')",14.151612903225809,0,1,0,0,0,0,0,0,0,1
27,"('PGM', 'ENO')",14.79677419354839,0,0,1,1,0,0,0,0,0,0
28,"('PGM', 'TPI')",14.79677419354839,0,0,1,0,1,0,0,0,0,0
29,"('PGM', 'ACONTb')",14.340350877193003,0,0,1,0,0,1,0,0,0,0
30,"('PGM', 'ACONTa')",14.340350877193003,0,0,1,0,0,0,1,0,0,0
31,"('PGM', 'CS')",14.340350877193003,0,0,1,0,0,0,0,1,0,0
32,"('PGM', 'FUM')",14.610852713178298,0,0,1,0,0,0,0,0,1,0
33,"('PGM', 'MDH')",14.68756218905472,0,0,1,0,0,0,0,0,0,1
34,"('ENO', 'TPI')",14.796774193548384,0,0,0,1,1,0,0,0,0,0
35,"('ENO', 'ACONTb')",14.340350877192957,0,0,0,1,0,1,0,0,0,0
36,"('ENO', 'ACONTa')",14.340350877192957,0,0,0,1,0,0,1,0,0,0
37,"('ENO', 'CS')",14.340350877192957,0,0,0,1,0,0,0,1,0,0
38,"('ENO', 'FUM')",14.610852713178298,0,0,0,1,0,0,0,0,1,0
39,"('ENO', 'MDH')",14.687562189054724,0,0,0,1,0,0,0,0,0,1
40,"('TPI', 'ACONTb')",15.743859649122902,0,0,0,0,1,1,0,0,0,0
41,"('TPI', 'ACONTa')",15.743859649122902,0,0,0,0,1,0,1,0,0,0
42,"('TPI', 'CS')",15.743859649122902,0,0,0,0,1,0,0,1,0,0
43,"('TPI', 'FUM')",16.044961240310148,0,0,0,0,1,0,0,0,1,0
44,"('TPI', 'MDH')",16.087096774193547,0,0,0,0,1,0,0,0,0,1
45,"('ACONTb', 'ACONTa')",16.681632653061303,0,0,0,0,0,1,1,0,0,0
46,"('ACONTb', 'CS')",16.681632653061314,0,0,0,0,0,1,0,1,0,0
47,"('ACONTb', 'FUM')",16.681632653061314,0,0,0,0,0,1,0,0,1,0
48,"('ACONTb', 'MDH')",16.681632653061314,0,0,0,0,0,1,0,0,0,1
49,"('ACONTa', 'CS')",16.68163265306131,0,0,0,0,0,0,1,1,0,0
50,"('ACONTa', 'FUM')",16.68163265306131,0,0,0,0,0,0,1,0,1,0
51,"('ACONTa', 'MDH')",16.68163265306131,0,0,0,0,0,0,1,0,0,1
52,"('CS', 'FUM')",16.681632653061314,0,0,0,0,0,0,0,1,1,0
53,"('CS', 'MDH')",16.681632653061314,0,0,0,0,0,0,0,1,0,1
54,"('FUM', 'MDH')",16.763025210083974,0,0,0,0,0,0,0,0,1,1
55,"('GAPD', 'PGK', 'PGM')",14.151612903225784,1,1,1,0,0,0,0,0,0,0
56,"('GAPD', 'PGK', 'ENO')",14.151612903225784,1,1,0,1,0,0,0,0,0,0
57,"('GAPD', 'PGK', 'TPI')",1.2649350649350655,1,1,0,0,1,0,0,0,0,0
58,"('GAPD', 'PGK', 'ACONTb')",13.638596491228059,1,1,0,0,0,1,0,0,0,0
59,"('GAPD', 'PGK', 'ACONTa')",13.638596491228057,1,1,0,0,0,0,1,0,0,0
60,"('GAPD', 'PGK', 'CS')",13.638596491228057,1,1,0,0,0,0,0,1,0,0
61,"('GAPD', 'PGK', 'FUM')",14.151612903225804,1,1,0,0,0,0,0,0,1,0
62,"('GAPD', 'PGK', 'MDH')",14.151612903225836,1,1,0,0,0,0,0,0,0,1
63,"('GAPD', 'PGM', 'ENO')",14.151612903225836,1,0,1,1,0,0,0,0,0,0
64,"('GAPD', 'PGM', 'TPI')",1.264935064935065,1,0,1,0,1,0,0,0,0,0
65,"('GAPD', 'PGM', 'ACONTb')",13.638596491228045,1,0,1,0,0,1,0,0,0,0
66,"('GAPD', 'PGM', 'ACONTa')",13.638596491228045,1,0,1,0,0,0,1,0,0,0
67,"('GAPD', 'PGM', 'CS')",13.638596491228045,1,0,1,0,0,0,0,1,0,0
68,"('GAPD', 'PGM', 'FUM')",14.151612903225782,1,0,1,0,0,0,0,0,1,0
69,"('GAPD', 'PGM', 'MDH')",14.151612903225796,1,0,1,0,0,0,0,0,0,1
70,"('GAPD', 'ENO', 'TPI')",1.2649350649350601,1,0,0,1,1,0,0,0,0,0
71,"('GAPD', 'ENO', 'ACONTb')",13.638596491228078,1,0,0,1,0,1,0,0,0,0
72,"('GAPD', 'ENO', 'ACONTa')",13.638596491228078,1,0,0,1,0,0,1,0,0,0
73,"('GAPD', 'ENO', 'CS')",13.638596491228078,1,0,0,1,0,0,0,1,0,0
74,"('GAPD', 'ENO', 'FUM')",14.151612903225807,1,0,0,1,0,0,0,0,1,0
75,"('GAPD', 'ENO', 'MDH')",14.151612903225807,1,0,0,1,0,0,0,0,0,1
76,"('GAPD', 'TPI', 'ACONTb')",1.2649350649350777,1,0,0,0,1,1,0,0,0,0
77,"('GAPD', 'TPI', 'ACONTa')",1.2649350649350772,1,0,0,0,1,0,1,0,0,0
78,"('GAPD', 'TPI', 'CS')",1.2649350649350772,1,0,0,0,1,0,0,1,0,0
79,"('GAPD', 'TPI', 'FUM')",1.2649350649350772,1,0,0,0,1,0,0,0,1,0
80,"('GAPD', 'TPI', 'MDH')",1.2649350649350772,1,0,0,0,1,0,0,0,0,1
81,"('GAPD', 'ACONTb', 'ACONTa')",13.638596491228103,1,0,0,0,0,1,1,0,0,0
82,"('GAPD', 'ACONTb', 'CS')",13.638596491228103,1,0,0,0,0,1,0,1,0,0
83,"('GAPD', 'ACONTb', 'FUM')",13.638596491228103,1,0,0,0,0,1,0,0,1,0
84,"('GAPD', 'ACONTb', 'MDH')",13.638596491228103,1,0,0,0,0,1,0,0,0,1
85,"('GAPD', 'ACONTa', 'CS')",13.638596491228103,1,0,0,0,0,0,1,1,0,0
86,"('GAPD', 'ACONTa', 'FUM')",13.638596491228103,1,0,0,0,0,0,1,0,1,0
87,"('GAPD', 'ACONTa', 'MDH')",13.638596491228103,1,0,0,0,0,0,1,0,0,1
88,"('GAPD', 'CS', 'FUM')",13.638596491228103,1,0,0,0,0,0,0,1,1,0
89,"('GAPD', 'CS', 'MDH')",13.638596491228103,1,0,0,0,0,0,0,1,0,1
90,"('GAPD', 'FUM', 'MDH')",13.854237288135629,1,0,0,0,0,0,0,0,1,1
91,"('PGK', 'PGM', 'ENO')",14.151612903225837,0,1,1,1,0,0,0,0,0,0
92,"('PGK', 'PGM', 'TPI')",1.264935064935066,0,1,1,0,1,0,0,0,0,0
93,"('PGK', 'PGM', 'ACONTb')",13.63859649122802,0,1,1,0,0,1,0,0,0,0
94,"('PGK', 'PGM', 'ACONTa')",13.63859649122801,0,1,1,0,0,0,1,0,0,0
95,"('PGK', 'PGM', 'CS')",13.63859649122801,0,1,1,0,0,0,0,1,0,0
96,"('PGK', 'PGM', 'FUM')",14.151612903225779,0,1,1,0,0,0,0,0,1,0
97,"('PGK', 'PGM', 'MDH')",14.15161290322581,0,1,1,0,0,0,0,0,0,1
98,"('PGK', 'ENO', 'TPI')",1.264935064935066,0,1,0,1,1,0,0,0,0,0
99,"('PGK', 'ENO', 'ACONTb')",13.63859649122795,0,1,0,1,0,1,0,0,0,0
100,"('PGK', 'ENO', 'ACONTa')",13.638596491227952,0,1,0,1,0,0,1,0,0,0
101,"('PGK', 'ENO', 'CS')",13.638596491227952,0,1,0,1,0,0,0,1,0,0
102,"('PGK', 'ENO', 'FUM')",14.151612903225706,0,1,0,1,0,0,0,0,1,0
103,"('PGK', 'ENO', 'MDH')",14.151612903225704,0,1,0,1,0,0,0,0,0,1
104,"('PGK', 'TPI', 'ACONTb')",1.2649350649350604,0,1,0,0,1,1,0,0,0,0
105,"('PGK', 'TPI', 'ACONTa')",1.2649350649350617,0,1,0,0,1,0,1,0,0,0
106,"('PGK', 'TPI', 'CS')",1.2649350649350617,0,1,0,0,1,0,0,1,0,0
107,"('PGK', 'TPI', 'FUM')",1.2649350649350617,0,1,0,0,1,0,0,0,1,0
108,"('PGK', 'TPI', 'MDH')",1.2649350649350617,0,1,0,0,1,0,0,0,0,1
109,"('PGK', 'ACONTb', 'ACONTa')",13.63859649122808,0,1,0,0,0,1,1,0,0,0
110,"('PGK', 'ACONTb', 'CS')",13.63859649122808,0,1,0,0,0,1,0,1,0,0
111,"('PGK', 'ACONTb', 'FUM')",13.63859649122808,0,1,0,0,0,1,0,0,1,0
112,"('PGK', 'ACONTb', 'MDH')",13.63859649122808,0,1,0,0,0,1,0,0,0,1
113,"('PGK', 'ACONTa', 'CS')",13.63859649122808,0,1,0,0,0,0,1,1,0,0
114,"('PGK', 'ACONTa', 'FUM')",13.63859649122808,0,1,0,0,0,0,1,0,1,0
115,"('PGK', 'ACONTa', 'MDH')",13.63859649122808,0,1,0,0,0,0,1,0,0,1
116,"('PGK', 'CS', 'FUM')",13.63859649122808,0,1,0,0,0,0,0,1,1,0
117,"('PGK', 'CS', 'MDH')",13.63859649122808,0,1,0,0,0,0,0,1,0,1
118,"('PGK', 'FUM', 'MDH')",13.854237288135586,0,1,0,0,0,0,0,0,1,1
119,"('PGM', 'ENO', 'TPI')",14.796774193548401,0,0,1,1,1,0,0,0,0,0
120,"('PGM', 'ENO', 'ACONTb')",14.340350877193,0,0,1,1,0,1,0,0,0,0
121,"('PGM', 'ENO', 'ACONTa')",14.340350877193,0,0,1,1,0,0,1,0,0,0
122,"('PGM', 'ENO', 'CS')",14.340350877193,0,0,1,1,0,0,0,1,0,0
123,"('PGM', 'ENO', 'FUM')",14.610852713178343,0,0,1,1,0,0,0,0,1,0
124,"('PGM', 'ENO', 'MDH')",14.68756218905479,0,0,1,1,0,0,0,0,0,1
125,"('PGM', 'TPI', 'ACONTb')",14.340350877193007,0,0,1,0,1,1,0,0,0,0
126,"('PGM', 'TPI', 'ACONTa')",14.340350877193007,0,0,1,0,1,0,1,0,0,0
127,"('PGM', 'TPI', 'CS')",14.340350877193007,0,0,1,0,1,0,0,1,0,0
128,"('PGM', 'TPI', 'FUM')",14.610852713178284,0,0,1,0,1,0,0,0,1,0
129,"('PGM', 'TPI', 'MDH')",14.687562189054713,0,0,1,0,1,0,0,0,0,1
130,"('PGM', 'ACONTb', 'ACONTa')",14.340350877192979,0,0,1,0,0,1,1,0,0,0
131,"('PGM', 'ACONTb', 'CS')",14.340350877192979,0,0,1,0,0,1,0,1,0,0
132,"('PGM', 'ACONTb', 'FUM')",14.340350877192972,0,0,1,0,0,1,0,0,1,0
133,"('PGM', 'ACONTb', 'MDH')",14.340350877192972,0,0,1,0,0,1,0,0,0,1
134,"('PGM', 'ACONTa', 'CS')",14.340350877192972,0,0,1,0,0,0,1,1,0,0
135,"('PGM', 'ACONTa', 'FUM')",14.340350877192972,0,0,1,0,0,0,1,0,1,0
136,"('PGM', 'ACONTa', 'MDH')",14.340350877192972,0,0,1,0,0,0,1,0,0,1
137,"('PGM', 'CS', 'FUM')",14.340350877192972,0,0,1,0,0,0,0,1,1,0
138,"('PGM', 'CS', 'MDH')",14.340350877192972,0,0,1,0,0,0,0,1,0,1
139,"('PGM', 'FUM', 'MDH')",14.456666666666653,0,0,1,0,0,0,0,0,1,1
140,"('ENO', 'TPI', 'ACONTb')",14.340350877192984,0,0,0,1,1,1,0,0,0,0
141,"('ENO', 'TPI', 'ACONTa')",14.340350877192984,0,0,0,1,1,0,1,0,0,0
142,"('ENO', 'TPI', 'CS')",14.340350877192984,0,0,0,1,1,0,0,1,0,0
143,"('ENO', 'TPI', 'FUM')",14.610852713178296,0,0,0,1,1,0,0,0,1,0
144,"('ENO', 'TPI', 'MDH')",14.687562189054722,0,0,0,1,1,0,0,0,0,1
145,"('ENO', 'ACONTb', 'ACONTa')",14.340350877192979,0,0,0,1,0,1,1,0,0,0
146,"('ENO', 'ACONTb', 'CS')",14.340350877192979,0,0,0,1,0,1,0,1,0,0
147,"('ENO', 'ACONTb', 'FUM')",14.340350877192979,0,0,0,1,0,1,0,0,1,0
148,"('ENO', 'ACONTb', 'MDH')",14.340350877192979,0,0,0,1,0,1,0,0,0,1
149,"('ENO', 'ACONTa', 'CS')",14.340350877192986,0,0,0,1,0,0,1,1,0,0
150,"('ENO', 'ACONTa', 'FUM')",14.340350877192986,0,0,0,1,0,0,1,0,1,0
151,"('ENO', 'ACONTa', 'MDH')",14.340350877192986,0,0,0,1,0,0,1,0,0,1
152,"('ENO', 'CS', 'FUM')",14.340350877192986,0,0,0,1,0,0,0,1,1,0
153,"('ENO', 'CS', 'MDH')",14.340350877192986,0,0,0,1,0,0,0,1,0,1
154,"('ENO', 'FUM', 'MDH')",14.456666666666665,0,0,0,1,0,0,0,0,1,1
155,"('TPI', 'ACONTb', 'ACONTa')",15.74385964912281,0,0,0,0,1,1,1,0,0,0
156,"('TPI', 'ACONTb', 'CS')",15.74385964912281,0,0,0,0,1,1,0,1,0,0
157,"('TPI', 'ACONTb', 'FUM')",15.74385964912281,0,0,0,0,1,1,0,0,1,0
158,"('TPI', 'ACONTb', 'MDH')",15.74385964912281,0,0,0,0,1,1,0,0,0,1
159,"('TPI', 'ACONTa', 'CS')",15.743859649122811,0,0,0,0,1,0,1,1,0,0
160,"('TPI', 'ACONTa', 'FUM')",15.74385964912281,0,0,0,0,1,0,1,0,1,0
161,"('TPI', 'ACONTa', 'MDH')",15.74385964912281,0,0,0,0,1,0,1,0,0,1
162,"('TPI', 'CS', 'FUM')",15.74385964912281,0,0,0,0,1,0,0,1,1,0
163,"('TPI', 'CS', 'MDH')",15.74385964912281,0,0,0,0,1,0,0,1,0,1
164,"('TPI', 'FUM', 'MDH')",15.873333333333335,0,0,0,0,1,0,0,0,1,1
165,"('ACONTb', 'ACONTa', 'CS')",16.68163265306122,0,0,0,0,0,1,1,1,0,0
166,"('ACONTb', 'ACONTa', 'FUM')",16.68163265306122,0,0,0,0,0,1,1,0,1,0
167,"('ACONTb', 'ACONTa', 'MDH')",16.68163265306122,0,0,0,0,0,1,1,0,0,1
168,"('ACONTb', 'CS', 'FUM')",16.68163265306122,0,0,0,0,0,1,0,1,1,0
169,"('ACONTb', 'CS', 'MDH')",16.68163265306122,0,0,0,0,0,1,0,1,0,1
170,"('ACONTb', 'FUM', 'MDH')",16.68163265306122,0,0,0,0,0,1,0,0,1,1
171,"('ACONTa', 'CS', 'FUM')",16.681632653061214,0,0,0,0,0,0,1,1,1,0
172,"('ACONTa', 'CS', 'MDH')",16.681632653061214,0,0,0,0,0,0,1,1,0,1
173,"('ACONTa', 'FUM', 'MDH')",16.681632653061214,0,0,0,0,0,0,1,0,1,1
174,"('CS', 'FUM', 'MDH')",16.681632653061214,0,0,0,0,0,0,0,1,1,1
175,"('GAPD', 'PGK', 'PGM', 'ENO')",14.151612903225768,1,1,1,1,0,0,0,0,0,0
176,"('GAPD', 'PGK', 'PGM', 'TPI')",1.2649350649350481,1,1,1,0,1,0,0,0,0,0
177,"('GAPD', 'PGK', 'PGM', 'ACONTb')",13.638596491228096,1,1,1,0,0,1,0,0,0,0
178,"('GAPD', 'PGK', 'PGM', 'ACONTa')",13.638596491228096,1,1,1,0,0,0,1,0,0,0
179,"('GAPD', 'PGK', 'PGM', 'CS')",13.638596491228094,1,1,1,0,0,0,0,1,0,0
180,"('GAPD', 'PGK', 'PGM', 'FUM')",14.151612903225786,1,1,1,0,0,0,0,0,1,0
181,"('GAPD', 'PGK', 'PGM', 'MDH')",14.151612903225798,1,1,1,0,0,0,0,0,0,1
182,"('GAPD', 'PGK', 'ENO', 'TPI')",1.2649350649350684,1,1,0,1,1,0,0,0,0,0
183,"('GAPD', 'PGK', 'ENO', 'ACONTb')",13.638596491228075,1,1,0,1,0,1,0,0,0,0
184,"('GAPD', 'PGK', 'ENO', 'ACONTa')",13.638596491228075,1,1,0,1,0,0,1,0,0,0
185,"('GAPD', 'PGK', 'ENO', 'CS')",13.638596491228075,1,1,0,1,0,0,0,1,0,0
186,"('GAPD', 'PGK', 'ENO', 'FUM')",14.15161290322585,1,1,0,1,0,0,0,0,1,0
187,"('GAPD', 'PGK', 'ENO', 'MDH')",14.151612903225807,1,1,0,1,0,0,0,0,0,1
188,"('GAPD', 'PGK', 'TPI', 'ACONTb')",1.264935064935063,1,1,0,0,1,1,0,0,0,0
189,"('GAPD', 'PGK', 'TPI', 'ACONTa')",1.264935064935063,1,1,0,0,1,0,1,0,0,0
190,"('GAPD', 'PGK', 'TPI', 'CS')",1.2649350649350637,1,1,0,0,1,0,0,1,0,0
191,"('GAPD', 'PGK', 'TPI', 'FUM')",1.2649350649350637,1,1,0,0,1,0,0,0,1,0
192,"('GAPD', 'PGK', 'TPI', 'MDH')",1.2649350649350637,1,1,0,0,1,0,0,0,0,1
193,"('GAPD', 'PGK', 'ACONTb', 'ACONTa')",13.638596491228071,1,1,0,0,0,1,1,0,0,0
194,"('GAPD', 'PGK', 'ACONTb', 'CS')",13.638596491228071,1,1,0,0,0,1,0,1,0,0
195,"('GAPD', 'PGK', 'ACONTb', 'FUM')",13.638596491228071,1,1,0,0,0,1,0,0,1,0
196,"('GAPD', 'PGK', 'ACONTb', 'MDH')",13.638596491228071,1,1,0,0,0,1,0,0,0,1
197,"('GAPD', 'PGK', 'ACONTa', 'CS')",13.63859649122807,1,1,0,0,0,0,1,1,0,0
198,"('GAPD', 'PGK', 'ACONTa', 'FUM')",13.63859649122807,1,1,0,0,0,0,1,0,1,0
199,"('GAPD', 'PGK', 'ACONTa', 'MDH')",13.63859649122807,1,1,0,0,0,0,1,0,0,1
200,"('GAPD', 'PGK', 'CS', 'FUM')",13.63859649122807,1,1,0,0,0,0,0,1,1,0
201,"('GAPD', 'PGK', 'CS', 'MDH')",13.63859649122807,1,1,0,0,0,0,0,1,0,1
202,"('GAPD', 'PGK', 'FUM', 'MDH')",13.854237288135586,1,1,0,0,0,0,0,0,1,1
203,"('GAPD', 'PGM', 'ENO', 'TPI')",1.264935064935061,1,0,1,1,1,0,0,0,0,0
204,"('GAPD', 'PGM', 'ENO', 'ACONTb')",13.638596491228054,1,0,1,1,0,1,0,0,0,0
205,"('GAPD', 'PGM', 'ENO', 'ACONTa')",13.638596491228054,1,0,1,1,0,0,1,0,0,0
206,"('GAPD', 'PGM', 'ENO', 'CS')",13.638596491228054,1,0,1,1,0,0,0,1,0,0
207,"('GAPD', 'PGM', 'ENO', 'FUM')",14.1516129032258,1,0,1,1,0,0,0,0,1,0
208,"('GAPD', 'PGM', 'ENO', 'MDH')",14.15161290322581,1,0,1,1,0,0,0,0,0,1
209,"('GAPD', 'PGM', 'TPI', 'ACONTb')",1.264935064935079,1,0,1,0,1,1,0,0,0,0
210,"('GAPD', 'PGM', 'TPI', 'ACONTa')",1.264935064935079,1,0,1,0,1,0,1,0,0,0
211,"('GAPD', 'PGM', 'TPI', 'CS')",1.264935064935079,1,0,1,0,1,0,0,1,0,0
212,"('GAPD', 'PGM', 'TPI', 'FUM')",1.264935064935079,1,0,1,0,1,0,0,0,1,0
213,"('GAPD', 'PGM', 'TPI', 'MDH')",1.264935064935079,1,0,1,0,1,0,0,0,0,1
214,"('GAPD', 'PGM', 'ACONTb', 'ACONTa')",13.638596491228057,1,0,1,0,0,1,1,0,0,0
215,"('GAPD', 'PGM', 'ACONTb', 'CS')",13.638596491228057,1,0,1,0,0,1,0,1,0,0
216,"('GAPD', 'PGM', 'ACONTb', 'FUM')",13.638596491228057,1,0,1,0,0,1,0,0,1,0
217,"('GAPD', 'PGM', 'ACONTb', 'MDH')",13.638596491228057,1,0,1,0,0,1,0,0,0,1
218,"('GAPD', 'PGM', 'ACONTa', 'CS')",13.638596491228057,1,0,1,0,0,0,1,1,0,0
219,"('GAPD', 'PGM', 'ACONTa', 'FUM')",13.638596491228057,1,0,1,0,0,0,1,0,1,0
220,"('GAPD', 'PGM', 'ACONTa', 'MDH')",13.638596491228057,1,0,1,0,0,0,1,0,0,1
221,"('GAPD', 'PGM', 'CS', 'FUM')",13.638596491228057,1,0,1,0,0,0,0,1,1,0
222,"('GAPD', 'PGM', 'CS', 'MDH')",13.638596491228057,1,0,1,0,0,0,0,1,0,1
223,"('GAPD', 'PGM', 'FUM', 'MDH')",13.854237288135533,1,0,1,0,0,0,0,0,1,1
224,"('GAPD', 'ENO', 'TPI', 'ACONTb')",1.2649350649350772,1,0,0,1,1,1,0,0,0,0
225,"('GAPD', 'ENO', 'TPI', 'ACONTa')",1.2649350649350772,1,0,0,1,1,0,1,0,0,0
226,"('GAPD', 'ENO', 'TPI', 'CS')",1.2649350649350772,1,0,0,1,1,0,0,1,0,0
227,"('GAPD', 'ENO', 'TPI', 'FUM')",1.2649350649350772,1,0,0,1,1,0,0,0,1,0
228,"('GAPD', 'ENO', 'TPI', 'MDH')",1.2649350649350772,1,0,0,1,1,0,0,0,0,1
229,"('GAPD', 'ENO', 'ACONTb', 'ACONTa')",13.63859649122805,1,0,0,1,0,1,1,0,0,0
230,"('GAPD', 'ENO', 'ACONTb', 'CS')",13.63859649122805,1,0,0,1,0,1,0,1,0,0
231,"('GAPD', 'ENO', 'ACONTb', 'FUM')",13.63859649122805,1,0,0,1,0,1,0,0,1,0
232,"('GAPD', 'ENO', 'ACONTb', 'MDH')",13.63859649122805,1,0,0,1,0,1,0,0,0,1
233,"('GAPD', 'ENO', 'ACONTa', 'CS')",13.638596491228055,1,0,0,1,0,0,1,1,0,0
234,"('GAPD', 'ENO', 'ACONTa', 'FUM')",13.638596491228055,1,0,0,1,0,0,1,0,1,0
235,"('GAPD', 'ENO', 'ACONTa', 'MDH')",13.638596491228055,1,0,0,1,0,0,1,0,0,1
236,"('GAPD', 'ENO', 'CS', 'FUM')",13.63859649122805,1,0,0,1,0,0,0,1,1,0
237,"('GAPD', 'ENO', 'CS', 'MDH')",13.63859649122805,1,0,0,1,0,0,0,1,0,1
238,"('GAPD', 'ENO', 'FUM', 'MDH')",13.85423728813558,1,0,0,1,0,0,0,0,1,1
239,"('GAPD', 'TPI', 'ACONTb', 'ACONTa')",1.2649350649350712,1,0,0,0,1,1,1,0,0,0
240,"('GAPD', 'TPI', 'ACONTb', 'CS')",1.2649350649350712,1,0,0,0,1,1,0,1,0,0
241,"('GAPD', 'TPI', 'ACONTb', 'FUM')",1.2649350649350712,1,0,0,0,1,1,0,0,1,0
242,"('GAPD', 'TPI', 'ACONTb', 'MDH')",1.2649350649350712,1,0,0,0,1,1,0,0,0,1
243,"('GAPD', 'TPI', 'ACONTa', 'CS')",1.2649350649350712,1,0,0,0,1,0,1,1,0,0
244,"('GAPD', 'TPI', 'ACONTa', 'FUM')",1.2649350649350712,1,0,0,0,1,0,1,0,1,0
245,"('GAPD', 'TPI', 'ACONTa', 'MDH')",1.2649350649350712,1,0,0,0,1,0,1,0,0,1
246,"('GAPD', 'TPI', 'CS', 'FUM')",1.2649350649350712,1,0,0,0,1,0,0,1,1,0
247,"('GAPD', 'TPI', 'CS', 'MDH')",1.2649350649350712,1,0,0,0,1,0,0,1,0,1
248,"('GAPD', 'TPI', 'FUM', 'MDH')",1.2649350649350712,1,0,0,0,1,0,0,0,1,1
