,comb,obj,GAPD,PGK,PGM,ENO,TPI,ACONTb,ACONTa,CS,FUM,MDH
249,"('GAPD', 'ACONTb', 'ACONTa', 'CS')",13.638596491228064,1,0,0,0,0,1,1,1,0,0
250,"('GAPD', 'ACONTb', 'ACONTa', 'FUM')",13.638596491228064,1,0,0,0,0,1,1,0,1,0
251,"('GAPD', 'ACONTb', 'ACONTa', 'MDH')",13.638596491228064,1,0,0,0,0,1,1,0,0,1
252,"('GAPD', 'ACONTb', 'CS', 'FUM')",13.638596491228064,1,0,0,0,0,1,0,1,1,0
253,"('GAPD', 'ACONTb', 'CS', 'MDH')",13.638596491228064,1,0,0,0,0,1,0,1,0,1
254,"('GAPD', 'ACONTb', 'FUM', 'MDH')",13.63859649122806,1,0,0,0,0,1,0,0,1,1
255,"('GAPD', 'ACONTa', 'CS', 'FUM')",13.638596491228062,1,0,0,0,0,0,1,1,1,0
256,"('GAPD', 'ACONTa', 'CS', 'MDH')",13.638596491228062,1,0,0,0,0,0,1,1,0,1
257,"('GAPD', 'ACONTa', 'FUM', 'MDH')",13.638596491228062,1,0,0,0,0,0,1,0,1,1
258,"('GAPD', 'CS', 'FUM', 'MDH')",13.63859649122806,1,0,0,0,0,0,0,1,1,1
259,"('PGK', 'PGM', 'ENO', 'TPI')",1.2649350649350561,0,1,1,1,1,0,0,0,0,0
260,"('PGK', 'PGM', 'ENO', 'ACONTb')",13.638596491228057,0,1,1,1,0,1,0,0,0,0
261,"('PGK', 'PGM', 'ENO', 'ACONTa')",13.638596491228059,0,1,1,1,0,0,1,0,0,0
262,"('PGK', 'PGM', 'ENO', 'CS')",13.638596491228059,0,1,1,1,0,0,0,1,0,0
263,"('PGK', 'PGM', 'ENO', 'FUM')",14.15161290322579,0,1,1,1,0,0,0,0,1,0
264,"('PGK', 'PGM', 'ENO', 'MDH')",14.151612903225812,0,1,1,1,0,0,0,0,0,1
265,"('PGK', 'PGM', 'TPI', 'ACONTb')",1.2649350649350641,0,1,1,0,1,1,0,0,0,0
266,"('PGK', 'PGM', 'TPI', 'ACONTa')",1.2649350649350641,0,1,1,0,1,0,1,0,0,0
267,"('PGK', 'PGM', 'TPI', 'CS')",1.2649350649350641,0,1,1,0,1,0,0,1,0,0
268,"('PGK', 'PGM', 'TPI', 'FUM')",1.2649350649350641,0,1,1,0,1,0,0,0,1,0
269,"('PGK', 'PGM', 'TPI', 'MDH')",1.2649350649350641,0,1,1,0,1,0,0,0,0,1
270,"('PGK', 'PGM', 'ACONTb', 'ACONTa')",13.638596491228062,0,1,1,0,0,1,1,0,0,0
271,"('PGK', 'PGM', 'ACONTb', 'CS')",13.638596491228062,0,1,1,0,0,1,0,1,0,0
272,"('PGK', 'PGM', 'ACONTb', 'FUM')",13.638596491228062,0,1,1,0,0,1,0,0,1,0
273,"('PGK', 'PGM', 'ACONTb', 'MDH')",13.638596491228062,0,1,1,0,0,1,0,0,0,1
274,"('PGK', 'PGM', 'ACONTa', 'CS')",13.638596491228062,0,1,1,0,0,0,1,1,0,0
275,"('PGK', 'PGM', 'ACONTa', 'FUM')",13.638596491228062,0,1,1,0,0,0,1,0,1,0
276,"('PGK', 'PGM', 'ACONTa', 'MDH')",13.638596491228062,0,1,1,0,0,0,1,0,0,1
277,"('PGK', 'PGM', 'CS', 'FUM')",13.638596491228062,0,1,1,0,0,0,0,1,1,0
278,"('PGK', 'PGM', 'CS', 'MDH')",13.638596491228062,0,1,1,0,0,0,0,1,0,1
279,"('PGK', 'PGM', 'FUM', 'MDH')",13.854237288135588,0,1,1,0,0,0,0,0,1,1
280,"('PGK', 'ENO', 'TPI', 'ACONTb')",1.2649350649350688,0,1,0,1,1,1,0,0,0,0
281,"('PGK', 'ENO', 'TPI', 'ACONTa')",1.2649350649350688,0,1,0,1,1,0,1,0,0,0
282,"('PGK', 'ENO', 'TPI', 'CS')",1.2649350649350688,0,1,0,1,1,0,0,1,0,0
283,"('PGK', 'ENO', 'TPI', 'FUM')",1.2649350649350688,0,1,0,1,1,0,0,0,1,0
284,"('PGK', 'ENO', 'TPI', 'MDH')",1.2649350649350688,0,1,0,1,1,0,0,0,0,1
285,"('PGK', 'ENO', 'ACONTb', 'ACONTa')",13.638596491228112,0,1,0,1,0,1,1,0,0,0
286,"('PGK', 'ENO', 'ACONTb', 'CS')",13.638596491228112,0,1,0,1,0,1,0,1,0,0
287,"('PGK', 'ENO', 'ACONTb', 'FUM')",13.638596491228112,0,1,0,1,0,1,0,0,1,0
288,"('PGK', 'ENO', 'ACONTb', 'MDH')",13.638596491228112,0,1,0,1,0,1,0,0,0,1
289,"('PGK', 'ENO', 'ACONTa', 'CS')",13.638596491228112,0,1,0,1,0,0,1,1,0,0
290,"('PGK', 'ENO', 'ACONTa', 'FUM')",13.638596491228112,0,1,0,1,0,0,1,0,1,0
291,"('PGK', 'ENO', 'ACONTa', 'MDH')",13.638596491228112,0,1,0,1,0,0,1,0,0,1
292,"('PGK', 'ENO', 'CS', 'FUM')",13.638596491228112,0,1,0,1,0,0,0,1,1,0
293,"('PGK', 'ENO', 'CS', 'MDH')",13.638596491228112,0,1,0,1,0,0,0,1,0,1
294,"('PGK', 'ENO', 'FUM', 'MDH')",13.854237288135618,0,1,0,1,0,0,0,0,1,1
295,"('PGK', 'TPI', 'ACONTb', 'ACONTa')",1.2649350649350766,0,1,0,0,1,1,1,0,0,0
296,"('PGK', 'TPI', 'ACONTb', 'CS')",1.2649350649350766,0,1,0,0,1,1,0,1,0,0
297,"('PGK', 'TPI', 'ACONTb', 'FUM')",1.2649350649350766,0,1,0,0,1,1,0,0,1,0
298,"('PGK', 'TPI', 'ACONTb', 'MDH')",1.2649350649350766,0,1,0,0,1,1,0,0,0,1
299,"('PGK', 'TPI', 'ACONTa', 'CS')",1.2649350649350766,0,1,0,0,1,0,1,1,0,0
300,"('PGK', 'TPI', 'ACONTa', 'FUM')",1.2649350649350766,0,1,0,0,1,0,1,0,1,0
301,"('PGK', 'TPI', 'ACONTa', 'MDH')",1.2649350649350766,0,1,0,0,1,0,1,0,0,1
302,"('PGK', 'TPI', 'CS', 'FUM')",1.2649350649350772,0,1,0,0,1,0,0,1,1,0
303,"('PGK', 'TPI', 'CS', 'MDH')",1.2649350649350772,0,1,0,0,1,0,0,1,0,1
304,"('PGK', 'TPI', 'FUM', 'MDH')",1.2649350649350772,0,1,0,0,1,0,0,0,1,1
305,"('PGK', 'ACONTb', 'ACONTa', 'CS')",13.638596491228084,0,1,0,0,0,1,1,1,0,0
306,"('PGK', 'ACONTb', 'ACONTa', 'FUM')",13.638596491228084,0,1,0,0,0,1,1,0,1,0
307,"('PGK', 'ACONTb', 'ACONTa', 'MDH')",13.638596491228084,0,1,0,0,0,1,1,0,0,1
308,"('PGK', 'ACONTb', 'CS', 'FUM')",13.638596491228084,0,1,0,0,0,1,0,1,1,0
309,"('PGK', 'ACONTb', 'CS', 'MDH')",13.638596491228084,0,1,0,0,0,1,0,1,0,1
310,"('PGK', 'ACONTb', 'FUM', 'MDH')",13.638596491228084,0,1,0,0,0,1,0,0,1,1
311,"('PGK', 'ACONTa', 'CS', 'FUM')",13.638596491228084,0,1,0,0,0,0,1,1,1,0
312,"('PGK', 'ACONTa', 'CS', 'MDH')",13.638596491228084,0,1,0,0,0,0,1,1,0,1
313,"('PGK', 'ACONTa', 'FUM', 'MDH')",13.638596491228084,0,1,0,0,0,0,1,0,1,1
314,"('PGK', 'CS', 'FUM', 'MDH')",13.638596491228084,0,1,0,0,0,0,0,1,1,1
315,"('PGM', 'ENO', 'TPI', 'ACONTb')",14.340350877192963,0,0,1,1,1,1,0,0,0,0
316,"('PGM', 'ENO', 'TPI', 'ACONTa')",14.340350877192968,0,0,1,1,1,0,1,0,0,0
317,"('PGM', 'ENO', 'TPI', 'CS')",14.340350877192963,0,0,1,1,1,0,0,1,0,0
318,"('PGM', 'ENO', 'TPI', 'FUM')",14.610852713178272,0,0,1,1,1,0,0,0,1,0
319,"('PGM', 'ENO', 'TPI', 'MDH')",14.687562189054725,0,0,1,1,1,0,0,0,0,1
320,"('PGM', 'ENO', 'ACONTb', 'ACONTa')",14.340350877193055,0,0,1,1,0,1,1,0,0,0
321,"('PGM', 'ENO', 'ACONTb', 'CS')",14.340350877193055,0,0,1,1,0,1,0,1,0,0
322,"('PGM', 'ENO', 'ACONTb', 'FUM')",14.340350877193055,0,0,1,1,0,1,0,0,1,0
323,"('PGM', 'ENO', 'ACONTb', 'MDH')",14.340350877193055,0,0,1,1,0,1,0,0,0,1
324,"('PGM', 'ENO', 'ACONTa', 'CS')",14.340350877193055,0,0,1,1,0,0,1,1,0,0
325,"('PGM', 'ENO', 'ACONTa', 'FUM')",14.340350877193055,0,0,1,1,0,0,1,0,1,0
326,"('PGM', 'ENO', 'ACONTa', 'MDH')",14.340350877193055,0,0,1,1,0,0,1,0,0,1
327,"('PGM', 'ENO', 'CS', 'FUM')",14.340350877193055,0,0,1,1,0,0,0,1,1,0
328,"('PGM', 'ENO', 'CS', 'MDH')",14.340350877193055,0,0,1,1,0,0,0,1,0,1
329,"('PGM', 'ENO', 'FUM', 'MDH')",14.456666666666727,0,0,1,1,0,0,0,0,1,1
330,"('PGM', 'TPI', 'ACONTb', 'ACONTa')",14.34035087719299,0,0,1,0,1,1,1,0,0,0
331,"('PGM', 'TPI', 'ACONTb', 'CS')",14.34035087719299,0,0,1,0,1,1,0,1,0,0
332,"('PGM', 'TPI', 'ACONTb', 'FUM')",14.34035087719299,0,0,1,0,1,1,0,0,1,0
333,"('PGM', 'TPI', 'ACONTb', 'MDH')",14.34035087719299,0,0,1,0,1,1,0,0,0,1
334,"('PGM', 'TPI', 'ACONTa', 'CS')",14.34035087719299,0,0,1,0,1,0,1,1,0,0
335,"('PGM', 'TPI', 'ACONTa', 'FUM')",14.34035087719299,0,0,1,0,1,0,1,0,1,0
336,"('PGM', 'TPI', 'ACONTa', 'MDH')",14.34035087719299,0,0,1,0,1,0,1,0,0,1
337,"('PGM', 'TPI', 'CS', 'FUM')",14.34035087719299,0,0,1,0,1,0,0,1,1,0
338,"('PGM', 'TPI', 'CS', 'MDH')",14.34035087719299,0,0,1,0,1,0,0,1,0,1
339,"('PGM', 'TPI', 'FUM', 'MDH')",14.456666666666676,0,0,1,0,1,0,0,0,1,1
340,"('PGM', 'ACONTb', 'ACONTa', 'CS')",14.340350877192982,0,0,1,0,0,1,1,1,0,0
341,"('PGM', 'ACONTb', 'ACONTa', 'FUM')",14.340350877192982,0,0,1,0,0,1,1,0,1,0
342,"('PGM', 'ACONTb', 'ACONTa', 'MDH')",14.340350877192982,0,0,1,0,0,1,1,0,0,1
343,"('PGM', 'ACONTb', 'CS', 'FUM')",14.340350877192982,0,0,1,0,0,1,0,1,1,0
344,"('PGM', 'ACONTb', 'CS', 'MDH')",14.340350877192982,0,0,1,0,0,1,0,1,0,1
345,"('PGM', 'ACONTb', 'FUM', 'MDH')",14.340350877192982,0,0,1,0,0,1,0,0,1,1
346,"('PGM', 'ACONTa', 'CS', 'FUM')",14.340350877192991,0,0,1,0,0,0,1,1,1,0
347,"('PGM', 'ACONTa', 'CS', 'MDH')",14.340350877192991,0,0,1,0,0,0,1,1,0,1
348,"('PGM', 'ACONTa', 'FUM', 'MDH')",14.340350877192991,0,0,1,0,0,0,1,0,1,1
349,"('PGM', 'CS', 'FUM', 'MDH')",14.340350877192991,0,0,1,0,0,0,0,1,1,1
350,"('ENO', 'TPI', 'ACONTb', 'ACONTa')",14.340350877192993,0,0,0,1,1,1,1,0,0,0
351,"('ENO', 'TPI', 'ACONTb', 'CS')",14.340350877192993,0,0,0,1,1,1,0,1,0,0
352,"('ENO', 'TPI', 'ACONTb', 'FUM')",14.340350877192993,0,0,0,1,1,1,0,0,1,0
353,"('ENO', 'TPI', 'ACONTb', 'MDH')",14.340350877192993,0,0,0,1,1,1,0,0,0,1
354,"('ENO', 'TPI', 'ACONTa', 'CS')",14.340350877192993,0,0,0,1,1,0,1,1,0,0
355,"('ENO', 'TPI', 'ACONTa', 'FUM')",14.340350877192993,0,0,0,1,1,0,1,0,1,0
356,"('ENO', 'TPI', 'ACONTa', 'MDH')",14.340350877192993,0,0,0,1,1,0,1,0,0,1
357,"('ENO', 'TPI', 'CS', 'FUM')",14.340350877192993,0,0,0,1,1,0,0,1,1,0
358,"('ENO', 'TPI', 'CS', 'MDH')",14.340350877192993,0,0,0,1,1,0,0,1,0,1
359,"('ENO', 'TPI', 'FUM', 'MDH')",14.45666666666668,0,0,0,1,1,0,0,0,1,1
360,"('ENO', 'ACONTb', 'ACONTa', 'CS')",14.340350877192947,0,0,0,1,0,1,1,1,0,0
361,"('ENO', 'ACONTb', 'ACONTa', 'FUM')",14.34035087719295,0,0,0,1,0,1,1,0,1,0
362,"('ENO', 'ACONTb', 'ACONTa', 'MDH')",14.34035087719295,0,0,0,1,0,1,1,0,0,1
363,"('ENO', 'ACONTb', 'CS', 'FUM')",14.340350877192966,0,0,0,1,0,1,0,1,1,0
364,"('ENO', 'ACONTb', 'CS', 'MDH')",14.340350877192966,0,0,0,1,0,1,0,1,0,1
365,"('ENO', 'ACONTb', 'FUM', 'MDH')",14.340350877192966,0,0,0,1,0,1,0,0,1,1
366,"('ENO', 'ACONTa', 'CS', 'FUM')",14.340350877192966,0,0,0,1,0,0,1,1,1,0
367,"('ENO', 'ACONTa', 'CS', 'MDH')",14.340350877192966,0,0,0,1,0,0,1,1,0,1
368,"('ENO', 'ACONTa', 'FUM', 'MDH')",14.340350877192966,0,0,0,1,0,0,1,0,1,1
369,"('ENO', 'CS', 'FUM', 'MDH')",14.340350877192966,0,0,0,1,0,0,0,1,1,1
370,"('TPI', 'ACONTb', 'ACONTa', 'CS')",15.7438596491228,0,0,0,0,1,1,1,1,0,0
371,"('TPI', 'ACONTb', 'ACONTa', 'FUM')",15.743859649122804,0,0,0,0,1,1,1,0,1,0
372,"('TPI', 'ACONTb', 'ACONTa', 'MDH')",15.743859649122804,0,0,0,0,1,1,1,0,0,1
373,"('TPI', 'ACONTb', 'CS', 'FUM')",15.743859649122804,0,0,0,0,1,1,0,1,1,0
374,"('TPI', 'ACONTb', 'CS', 'MDH')",15.743859649122804,0,0,0,0,1,1,0,1,0,1
375,"('TPI', 'ACONTb', 'FUM', 'MDH')",15.743859649122804,0,0,0,0,1,1,0,0,1,1
376,"('TPI', 'ACONTa', 'CS', 'FUM')",15.743859649122804,0,0,0,0,1,0,1,1,1,0
377,"('TPI', 'ACONTa', 'CS', 'MDH')",15.743859649122804,0,0,0,0,1,0,1,1,0,1
378,"('TPI', 'ACONTa', 'FUM', 'MDH')",15.743859649122804,0,0,0,0,1,0,1,0,1,1
379,"('TPI', 'CS', 'FUM', 'MDH')",15.743859649122804,0,0,0,0,1,0,0,1,1,1
380,"('ACONTb', 'ACONTa', 'CS', 'FUM')",16.681632653061218,0,0,0,0,0,1,1,1,1,0
381,"('ACONTb', 'ACONTa', 'CS', 'MDH')",16.681632653061218,0,0,0,0,0,1,1,1,0,1
382,"('ACONTb', 'ACONTa', 'FUM', 'MDH')",16.681632653061218,0,0,0,0,0,1,1,0,1,1
383,"('ACONTb', 'CS', 'FUM', 'MDH')",16.681632653061218,0,0,0,0,0,1,0,1,1,1
384,"('ACONTa', 'CS', 'FUM', 'MDH')",16.681632653061218,0,0,0,0,0,0,1,1,1,1
385,"('GAPD', 'PGK', 'PGM', 'ENO', 'TPI')",1.2649350649350652,1,1,1,1,1,0,0,0,0,0
386,"('GAPD', 'PGK', 'PGM', 'ENO', 'ACONTb')",13.638596491228073,1,1,1,1,0,1,0,0,0,0
387,"('GAPD', 'PGK', 'PGM', 'ENO', 'ACONTa')",13.638596491228073,1,1,1,1,0,0,1,0,0,0
388,"('GAPD', 'PGK', 'PGM', 'ENO', 'CS')",13.638596491228073,1,1,1,1,0,0,0,1,0,0
389,"('GAPD', 'PGK', 'PGM', 'ENO', 'FUM')",14.15161290322581,1,1,1,1,0,0,0,0,1,0
390,"('GAPD', 'PGK', 'PGM', 'ENO', 'MDH')",14.151612903225804,1,1,1,1,0,0,0,0,0,1
391,"('GAPD', 'PGK', 'PGM', 'TPI', 'ACONTb')",1.26493506493507,1,1,1,0,1,1,0,0,0,0
392,"('GAPD', 'PGK', 'PGM', 'TPI', 'ACONTa')",1.26493506493507,1,1,1,0,1,0,1,0,0,0
393,"('GAPD', 'PGK', 'PGM', 'TPI', 'CS')",1.26493506493507,1,1,1,0,1,0,0,1,0,0
394,"('GAPD', 'PGK', 'PGM', 'TPI', 'FUM')",1.26493506493507,1,1,1,0,1,0,0,0,1,0
395,"('GAPD', 'PGK', 'PGM', 'TPI', 'MDH')",1.26493506493507,1,1,1,0,1,0,0,0,0,1
396,"('GAPD', 'PGK', 'PGM', 'ACONTb', 'ACONTa')",13.638596491228023,1,1,1,0,0,1,1,0,0,0
397,"('GAPD', 'PGK', 'PGM', 'ACONTb', 'CS')",13.638596491228029,1,1,1,0,0,1,0,1,0,0
398,"('GAPD', 'PGK', 'PGM', 'ACONTb', 'FUM')",13.638596491228029,1,1,1,0,0,1,0,0,1,0
399,"('GAPD', 'PGK', 'PGM', 'ACONTb', 'MDH')",13.638596491228029,1,1,1,0,0,1,0,0,0,1
400,"('GAPD', 'PGK', 'PGM', 'ACONTa', 'CS')",13.638596491228029,1,1,1,0,0,0,1,1,0,0
401,"('GAPD', 'PGK', 'PGM', 'ACONTa', 'FUM')",13.638596491228027,1,1,1,0,0,0,1,0,1,0
402,"('GAPD', 'PGK', 'PGM', 'ACONTa', 'MDH')",13.638596491228027,1,1,1,0,0,0,1,0,0,1
403,"('GAPD', 'PGK', 'PGM', 'CS', 'FUM')",13.638596491228027,1,1,1,0,0,0,0,1,1,0
404,"('GAPD', 'PGK', 'PGM', 'CS', 'MDH')",13.638596491228027,1,1,1,0,0,0,0,1,0,1
405,"('GAPD', 'PGK', 'PGM', 'FUM', 'MDH')",13.854237288135588,1,1,1,0,0,0,0,0,1,1
406,"('GAPD', 'PGK', 'ENO', 'TPI', 'ACONTb')",1.264935064935065,1,1,0,1,1,1,0,0,0,0
407,"('GAPD', 'PGK', 'ENO', 'TPI', 'ACONTa')",1.264935064935065,1,1,0,1,1,0,1,0,0,0
408,"('GAPD', 'PGK', 'ENO', 'TPI', 'CS')",1.264935064935065,1,1,0,1,1,0,0,1,0,0
409,"('GAPD', 'PGK', 'ENO', 'TPI', 'FUM')",1.264935064935065,1,1,0,1,1,0,0,0,1,0
410,"('GAPD', 'PGK', 'ENO', 'TPI', 'MDH')",1.264935064935065,1,1,0,1,1,0,0,0,0,1
411,"('GAPD', 'PGK', 'ENO', 'ACONTb', 'ACONTa')",13.638596491228071,1,1,0,1,0,1,1,0,0,0
412,"('GAPD', 'PGK', 'ENO', 'ACONTb', 'CS')",13.638596491228071,1,1,0,1,0,1,0,1,0,0
413,"('GAPD', 'PGK', 'ENO', 'ACONTb', 'FUM')",13.638596491228071,1,1,0,1,0,1,0,0,1,0
414,"('GAPD', 'PGK', 'ENO', 'ACONTb', 'MDH')",13.638596491228071,1,1,0,1,0,1,0,0,0,1
415,"('GAPD', 'PGK', 'ENO', 'ACONTa', 'CS')",13.638596491228071,1,1,0,1,0,0,1,1,0,0
416,"('GAPD', 'PGK', 'ENO', 'ACONTa', 'FUM')",13.638596491228071,1,1,0,1,0,0,1,0,1,0
417,"('GAPD', 'PGK', 'ENO', 'ACONTa', 'MDH')",13.638596491228071,1,1,0,1,0,0,1,0,0,1
418,"('GAPD', 'PGK', 'ENO', 'CS', 'FUM')",13.638596491228071,1,1,0,1,0,0,0,1,1,0
419,"('GAPD', 'PGK', 'ENO', 'CS', 'MDH')",13.638596491228071,1,1,0,1,0,0,0,1,0,1
420,"('GAPD', 'PGK', 'ENO', 'FUM', 'MDH')",13.854237288135582,1,1,0,1,0,0,0,0,1,1
421,"('GAPD', 'PGK', 'TPI', 'ACONTb', 'ACONTa')",1.2649350649350624,1,1,0,0,1,1,1,0,0,0
422,"('GAPD', 'PGK', 'TPI', 'ACONTb', 'CS')",1.2649350649350624,1,1,0,0,1,1,0,1,0,0
423,"('GAPD', 'PGK', 'TPI', 'ACONTb', 'FUM')",1.2649350649350624,1,1,0,0,1,1,0,0,1,0
424,"('GAPD', 'PGK', 'TPI', 'ACONTb', 'MDH')",1.2649350649350624,1,1,0,0,1,1,0,0,0,1
425,"('GAPD', 'PGK', 'TPI', 'ACONTa', 'CS')",1.2649350649350624,1,1,0,0,1,0,1,1,0,0
426,"('GAPD', 'PGK', 'TPI', 'ACONTa', 'FUM')",1.2649350649350624,1,1,0,0,1,0,1,0,1,0
427,"('GAPD', 'PGK', 'TPI', 'ACONTa', 'MDH')",1.2649350649350624,1,1,0,0,1,0,1,0,0,1
428,"('GAPD', 'PGK', 'TPI', 'CS', 'FUM')",1.2649350649350628,1,1,0,0,1,0,0,1,1,0
429,"('GAPD', 'PGK', 'TPI', 'CS', 'MDH')",1.2649350649350628,1,1,0,0,1,0,0,1,0,1
430,"('GAPD', 'PGK', 'TPI', 'FUM', 'MDH')",1.2649350649350628,1,1,0,0,1,0,0,0,1,1
431,"('GAPD', 'PGK', 'ACONTb', 'ACONTa', 'CS')",13.638596491228068,1,1,0,0,0,1,1,1,0,0
432,"('GAPD', 'PGK', 'ACONTb', 'ACONTa', 'FUM')",13.638596491228068,1,1,0,0,0,1,1,0,1,0
433,"('GAPD', 'PGK', 'ACONTb', 'ACONTa', 'MDH')",13.638596491228068,1,1,0,0,0,1,1,0,0,1
434,"('GAPD', 'PGK', 'ACONTb', 'CS', 'FUM')",13.638596491228068,1,1,0,0,0,1,0,1,1,0
435,"('GAPD', 'PGK', 'ACONTb', 'CS', 'MDH')",13.638596491228068,1,1,0,0,0,1,0,1,0,1
436,"('GAPD', 'PGK', 'ACONTb', 'FUM', 'MDH')",13.638596491228068,1,1,0,0,0,1,0,0,1,1
437,"('GAPD', 'PGK', 'ACONTa', 'CS', 'FUM')",13.638596491228071,1,1,0,0,0,0,1,1,1,0
438,"('GAPD', 'PGK', 'ACONTa', 'CS', 'MDH')",13.638596491228071,1,1,0,0,0,0,1,1,0,1
439,"('GAPD', 'PGK', 'ACONTa', 'FUM', 'MDH')",13.638596491228071,1,1,0,0,0,0,1,0,1,1
440,"('GAPD', 'PGK', 'CS', 'FUM', 'MDH')",13.638596491228071,1,1,0,0,0,0,0,1,1,1
441,"('GAPD', 'PGM', 'ENO', 'TPI', 'ACONTb')",1.2649350649350632,1,0,1,1,1,1,0,0,0,0
442,"('GAPD', 'PGM', 'ENO', 'TPI', 'ACONTa')",1.264935064935063,1,0,1,1,1,0,1,0,0,0
443,"('GAPD', 'PGM', 'ENO', 'TPI', 'CS')",1.264935064935063,1,0,1,1,1,0,0,1,0,0
444,"('GAPD', 'PGM', 'ENO', 'TPI', 'FUM')",1.264935064935063,1,0,1,1,1,0,0,0,1,0
445,"('GAPD', 'PGM', 'ENO', 'TPI', 'MDH')",1.264935064935063,1,0,1,1,1,0,0,0,0,1
446,"('GAPD', 'PGM', 'ENO', 'ACONTb', 'ACONTa')",13.638596491228135,1,0,1,1,0,1,1,0,0,0
447,"('GAPD', 'PGM', 'ENO', 'ACONTb', 'CS')",13.638596491228135,1,0,1,1,0,1,0,1,0,0
448,"('GAPD', 'PGM', 'ENO', 'ACONTb', 'FUM')",13.638596491228135,1,0,1,1,0,1,0,0,1,0
449,"('GAPD', 'PGM', 'ENO', 'ACONTb', 'MDH')",13.638596491228135,1,0,1,1,0,1,0,0,0,1
450,"('GAPD', 'PGM', 'ENO', 'ACONTa', 'CS')",13.638596491228135,1,0,1,1,0,0,1,1,0,0
451,"('GAPD', 'PGM', 'ENO', 'ACONTa', 'FUM')",13.638596491228135,1,0,1,1,0,0,1,0,1,0
452,"('GAPD', 'PGM', 'ENO', 'ACONTa', 'MDH')",13.638596491228135,1,0,1,1,0,0,1,0,0,1
453,"('GAPD', 'PGM', 'ENO', 'CS', 'FUM')",13.638596491228135,1,0,1,1,0,0,0,1,1,0
454,"('GAPD', 'PGM', 'ENO', 'CS', 'MDH')",13.638596491228135,1,0,1,1,0,0,0,1,0,1
455,"('GAPD', 'PGM', 'ENO', 'FUM', 'MDH')",13.854237288135632,1,0,1,1,0,0,0,0,1,1
456,"('GAPD', 'PGM', 'TPI', 'ACONTb', 'ACONTa')",1.264935064935068,1,0,1,0,1,1,1,0,0,0
457,"('GAPD', 'PGM', 'TPI', 'ACONTb', 'CS')",1.264935064935068,1,0,1,0,1,1,0,1,0,0
458,"('GAPD', 'PGM', 'TPI', 'ACONTb', 'FUM')",1.264935064935068,1,0,1,0,1,1,0,0,1,0
459,"('GAPD', 'PGM', 'TPI', 'ACONTb', 'MDH')",1.264935064935068,1,0,1,0,1,1,0,0,0,1
460,"('GAPD', 'PGM', 'TPI', 'ACONTa', 'CS')",1.264935064935068,1,0,1,0,1,0,1,1,0,0
461,"('GAPD', 'PGM', 'TPI', 'ACONTa', 'FUM')",1.264935064935068,1,0,1,0,1,0,1,0,1,0
462,"('GAPD', 'PGM', 'TPI', 'ACONTa', 'MDH')",1.264935064935068,1,0,1,0,1,0,1,0,0,1
463,"('GAPD', 'PGM', 'TPI', 'CS', 'FUM')",1.264935064935068,1,0,1,0,1,0,0,1,1,0
464,"('GAPD', 'PGM', 'TPI', 'CS', 'MDH')",1.264935064935068,1,0,1,0,1,0,0,1,0,1
465,"('GAPD', 'PGM', 'TPI', 'FUM', 'MDH')",1.264935064935068,1,0,1,0,1,0,0,0,1,1
